,index,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,YearRemodAdd,YearBuilt,OverallCond,1stFlrSF,OverallQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,LotArea,MSSubClass,2ndFlrSF,PavedDrive,HeatingQC,SaleCondition,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,CentralAir,Condition2,HouseStyle,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,BldgType,Electrical,LotFrontage,GarageYrBlt,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,BsmtFullBath,BsmtHalfBath,GarageCars,GarageArea,FireplaceQu,BsmtFinType2,BsmtExposure,GarageType,BsmtCond,BsmtQual,BsmtFinType1,GarageFinish,Utilities,GarageCond,MasVnrType,SaleType,Functional,KitchenQual,Exterior2nd,Exterior1st,GarageQual,MSZoning
15,16,0,854,1,0,2,1,5,0,2001,1929,8,854,7,48,112,0,0,0,0,0,7,2007,6120,45,0,Y,Ex,Normal,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Y,Norm,1.5Unf,Gable,CompShg,TA,TA,BrkTil,GasA,1Fam,FuseA,51.0,1991.0,0.0,0.0,0.0,832.0,832.0,0.0,0.0,2.0,576.0,Gd,Unf,No,Detchd,TA,TA,Unf,Unf,AllPub,TA,None,WD,Typ,TA,Wd Sdng,Wd Sdng,TA,RM
16,17,0,1004,1,0,2,1,5,1,1970,1970,7,1004,6,0,0,0,0,0,0,700,3,2010,11241,20,0,Y,Ex,Normal,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,49.48258972167969,1970.0,180.0,578.0,0.0,426.0,1004.0,1.0,0.0,2.0,480.0,TA,Unf,No,Attchd,TA,TA,ALQ,Fin,AllPub,TA,BrkFace,WD,Typ,TA,Wd Sdng,Wd Sdng,TA,RL
17,18,0,1296,2,0,2,2,6,0,1967,1967,5,1296,4,0,0,0,0,0,0,500,10,2006,10791,90,0,Y,TA,Normal,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,Slab,GasA,Duplex,SBrkr,72.0,1967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,516.0,Gd,Unf,No,CarPort,TA,TA,Unf,Unf,AllPub,TA,None,WD,Typ,TA,MetalSd,MetalSd,TA,RL
18,19,0,1114,1,1,3,1,6,0,2004,2004,5,1114,5,0,102,0,0,0,0,0,6,2008,13695,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Y,Norm,1Story,Gable,CompShg,TA,TA,PConc,GasA,1Fam,SBrkr,66.0,2004.0,0.0,646.0,0.0,468.0,1114.0,1.0,0.0,2.0,576.0,Gd,Unf,No,Detchd,TA,TA,GLQ,Unf,AllPub,TA,None,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
19,20,0,1339,1,0,3,1,6,0,1965,1958,6,1339,5,0,0,0,0,0,0,0,5,2009,7560,20,0,Y,TA,Abnorml,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Y,Norm,1Story,Hip,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,70.0,1958.0,0.0,504.0,0.0,525.0,1029.0,0.0,0.0,1.0,294.0,Gd,Unf,No,Attchd,TA,TA,LwQ,Unf,AllPub,TA,None,COD,Min1,TA,Plywood,BrkFace,TA,RL
20,21,0,2376,3,1,4,1,9,1,2006,2005,5,1158,8,240,154,0,0,0,0,0,11,2006,14215,60,1218,Y,Ex,Partial,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Y,Norm,2Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,101.0,2005.0,380.0,0.0,0.0,1158.0,1158.0,0.0,0.0,3.0,853.0,Gd,Unf,Av,BuiltIn,TA,Ex,Unf,RFn,AllPub,TA,BrkFace,New,Typ,Gd,VinylSd,VinylSd,TA,RL
21,22,0,1108,1,0,3,1,6,1,1950,1930,7,1108,7,0,0,205,0,0,0,0,6,2007,7449,45,0,N,Ex,Normal,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Y,Norm,1.5Unf,Gable,CompShg,TA,TA,PConc,GasA,1Fam,FuseF,57.0,1930.0,0.0,0.0,0.0,637.0,637.0,0.0,0.0,1.0,280.0,Gd,Unf,No,Attchd,TA,TA,Unf,Unf,AllPub,TA,None,WD,Typ,Gd,Wd Sdng,Wd Sdng,TA,RM
22,23,0,1795,2,0,3,1,7,1,2002,2002,5,1795,8,171,159,0,0,0,0,0,9,2008,9742,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Y,Norm,1Story,Hip,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,75.0,2002.0,281.0,0.0,0.0,1777.0,1777.0,0.0,0.0,2.0,534.0,Gd,Unf,No,Attchd,TA,Gd,Unf,RFn,AllPub,TA,BrkFace,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
23,24,0,1060,1,0,3,1,6,1,1976,1976,7,1060,5,100,110,0,0,0,0,0,6,2007,4224,120,0,Y,TA,Normal,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,PConc,GasA,TwnhsE,SBrkr,44.0,1976.0,0.0,840.0,0.0,200.0,1040.0,1.0,0.0,2.0,572.0,TA,Unf,No,Attchd,TA,Gd,GLQ,Unf,AllPub,TA,None,WD,Typ,TA,CmentBd,CemntBd,TA,RM
24,25,0,1060,1,0,3,1,6,1,2001,1968,8,1060,5,406,90,0,0,0,0,0,5,2010,8246,20,0,Y,Ex,Normal,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Y,Norm,1Story,Gable,CompShg,TA,Gd,CBlock,GasA,1Fam,SBrkr,64.86101531982422,1968.0,0.0,188.0,668.0,204.0,1060.0,1.0,0.0,1.0,270.0,TA,ALQ,Mn,Attchd,TA,TA,Rec,Unf,AllPub,TA,None,WD,Typ,Gd,Plywood,Plywood,TA,RL
25,26,0,1600,2,0,3,1,7,1,2007,2007,5,1600,8,0,56,0,0,0,0,0,7,2009,14230,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Y,Norm,1Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,110.0,2007.0,640.0,0.0,0.0,1566.0,1566.0,0.0,0.0,3.0,890.0,Gd,Unf,No,Attchd,TA,Gd,Unf,RFn,AllPub,TA,Stone,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
26,27,0,900,1,0,3,1,5,0,2000,1951,7,900,5,222,32,0,0,0,0,0,5,2010,7200,20,0,Y,TA,Normal,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,60.0,2005.0,0.0,234.0,486.0,180.0,900.0,0.0,1.0,2.0,576.0,Gd,Rec,Mn,Detchd,TA,TA,BLQ,Unf,AllPub,TA,None,WD,Typ,Gd,Wd Sdng,Wd Sdng,TA,RL
27,28,0,1704,2,0,3,1,7,1,2008,2007,5,1704,8,0,50,0,0,0,0,0,5,2010,11478,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Y,Norm,1Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,98.0,2008.0,200.0,1218.0,0.0,486.0,1704.0,1.0,0.0,3.0,772.0,Gd,Unf,No,Attchd,TA,Ex,GLQ,RFn,AllPub,TA,Stone,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
28,29,0,1600,1,0,2,1,6,2,1997,1957,6,1600,5,288,258,0,0,0,0,0,12,2006,16321,20,0,Y,TA,Normal,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,47.0,1957.0,0.0,1277.0,0.0,207.0,1484.0,1.0,0.0,1.0,319.0,Gd,Unf,Gd,Attchd,TA,TA,BLQ,RFn,AllPub,TA,None,WD,Typ,TA,MetalSd,MetalSd,TA,RL
29,30,0,520,1,0,1,1,4,0,1950,1927,6,520,4,49,0,87,0,0,0,0,5,2008,6324,30,0,Y,Fa,Normal,Pave,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,N,RRNn,1Story,Gable,CompShg,TA,TA,BrkTil,GasA,1Fam,SBrkr,60.0,1920.0,0.0,0.0,0.0,520.0,520.0,0.0,0.0,1.0,240.0,Gd,Unf,No,Detchd,TA,TA,Unf,Unf,AllPub,TA,None,WD,Typ,Fa,MetalSd,MetalSd,Fa,RM
30,31,0,1317,1,0,3,1,6,0,1950,1920,4,649,4,0,54,172,0,0,0,0,7,2008,8500,70,668,N,TA,Normal,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,N,Norm,2Story,Gambrel,CompShg,TA,Fa,BrkTil,GasA,1Fam,SBrkr,50.0,1920.0,0.0,0.0,0.0,649.0,649.0,0.0,0.0,1.0,250.0,Gd,Unf,No,Detchd,TA,TA,Unf,Unf,AllPub,Fa,None,WD,Typ,TA,BrkFace,BrkFace,TA,C (all)
31,32,0,1228,1,1,3,1,6,0,2006,1966,6,1228,5,0,65,0,0,0,0,0,6,2008,8544,20,0,Y,Gd,Normal,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,61.96965408325195,1966.0,0.0,0.0,0.0,1228.0,1228.0,0.0,0.0,1.0,271.0,Gd,Unf,No,Attchd,TA,TA,Unf,Unf,AllPub,TA,None,WD,Typ,Gd,HdBoard,HdBoard,TA,RL
32,33,0,1234,2,0,3,1,7,0,2007,2007,5,1234,8,0,30,0,0,0,0,0,1,2008,11049,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Y,Norm,1Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,85.0,2007.0,0.0,0.0,0.0,1234.0,1234.0,0.0,0.0,2.0,484.0,Gd,Unf,Av,Attchd,TA,Ex,Unf,RFn,AllPub,TA,None,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
33,34,0,1700,1,1,4,1,6,1,1959,1959,5,1700,5,0,38,0,0,0,0,0,4,2010,10552,20,0,Y,Gd,Normal,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Y,Norm,1Story,Hip,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,70.0,1959.0,0.0,1018.0,0.0,380.0,1398.0,0.0,1.0,2.0,447.0,Gd,Unf,No,Attchd,TA,TA,Rec,RFn,AllPub,TA,None,WD,Typ,Gd,BrkFace,BrkFace,TA,RL
34,35,0,1561,2,0,2,1,6,1,2005,2005,5,1561,9,203,47,0,0,0,0,0,8,2007,7313,120,0,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Y,Norm,1Story,Hip,CompShg,Ex,TA,PConc,GasA,TwnhsE,SBrkr,60.0,2005.0,246.0,1153.0,0.0,408.0,1561.0,1.0,0.0,2.0,556.0,Gd,Unf,No,Attchd,TA,Ex,GLQ,Fin,AllPub,TA,BrkFace,WD,Typ,Ex,MetalSd,MetalSd,TA,RL
35,36,0,2452,3,1,4,1,9,1,2005,2004,5,1132,8,113,32,0,0,0,0,0,9,2006,13418,60,1320,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Y,Norm,2Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,108.0,2004.0,132.0,0.0,0.0,1117.0,1117.0,0.0,0.0,3.0,691.0,Gd,Unf,Av,BuiltIn,TA,Ex,Unf,Fin,AllPub,TA,Stone,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
36,37,0,1097,1,1,3,1,6,0,1995,1994,5,1097,5,392,64,0,0,0,0,0,6,2009,10859,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,PConc,GasA,1Fam,SBrkr,112.0,1995.0,0.0,0.0,0.0,1097.0,1097.0,0.0,0.0,2.0,672.0,Gd,Unf,No,Attchd,TA,Gd,Unf,Unf,AllPub,TA,None,WD,Typ,TA,VinylSd,VinylSd,TA,RL
37,38,0,1297,1,0,3,1,5,1,1990,1954,6,1297,5,0,0,0,0,0,0,0,10,2009,8532,20,0,Y,Gd,Normal,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Y,Norm,1Story,Hip,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,74.0,1954.0,650.0,1213.0,0.0,84.0,1297.0,0.0,1.0,2.0,498.0,TA,Unf,No,Attchd,TA,TA,Rec,Fin,AllPub,TA,BrkFace,WD,Typ,TA,Wd Sdng,Wd Sdng,TA,RL
38,39,0,1057,1,0,3,1,5,0,2007,1953,7,1057,5,0,52,0,0,0,0,0,1,2010,7922,20,0,Y,TA,Abnorml,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Y,Norm,1Story,Gable,CompShg,TA,Gd,CBlock,GasA,1Fam,SBrkr,68.0,1953.0,0.0,731.0,0.0,326.0,1057.0,1.0,0.0,1.0,246.0,Gd,Unf,No,Detchd,TA,TA,GLQ,Unf,AllPub,TA,None,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
39,40,0,1152,2,0,2,2,6,0,1955,1955,5,1152,4,0,0,0,0,0,0,0,6,2008,6040,90,0,N,TA,AdjLand,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,N,Norm,1Story,Gable,CompShg,TA,TA,PConc,GasA,Duplex,FuseP,65.0,1947.1845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gd,Unf,No,Detchd,TA,TA,Unf,Unf,AllPub,TA,None,WD,Typ,Fa,Plywood,AsbShng,TA,RL
40,41,0,1324,2,0,3,1,6,1,1965,1965,5,1324,6,0,138,0,0,0,0,0,12,2006,8658,20,0,Y,Ex,Abnorml,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,84.0,1965.0,101.0,643.0,0.0,445.0,1088.0,0.0,0.0,2.0,440.0,TA,Unf,No,Attchd,TA,TA,Rec,RFn,AllPub,TA,BrkFace,WD,Typ,TA,Wd Sdng,Wd Sdng,TA,RL
41,42,0,1328,1,1,2,1,5,2,1959,1959,6,1328,5,0,104,0,0,0,0,0,7,2007,16905,20,0,P,Gd,Normal,Pave,Reg,Lvl,Inside,Gtl,Timber,Norm,Y,Norm,1Story,Gable,CompShg,TA,Gd,CBlock,GasA,1Fam,SBrkr,115.0,1959.0,0.0,967.0,0.0,383.0,1350.0,0.0,1.0,1.0,308.0,Gd,Unf,Gd,Attchd,TA,TA,BLQ,RFn,AllPub,TA,None,WD,Typ,TA,VinylSd,VinylSd,TA,RL
42,43,0,884,1,0,2,1,5,0,1983,1983,7,884,5,240,0,0,0,0,0,0,12,2007,9180,85,0,Y,Gd,Normal,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Y,Norm,SFoyer,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,49.822532653808594,1983.0,0.0,747.0,93.0,0.0,840.0,1.0,0.0,2.0,504.0,Gd,LwQ,Av,Attchd,TA,Gd,ALQ,RFn,AllPub,Gd,None,WD,Typ,Gd,HdBoard,HdBoard,TA,RL
43,44,0,938,1,0,3,1,5,0,1980,1975,6,938,5,145,0,0,0,0,0,0,7,2008,9200,20,0,Y,TA,Normal,Pave,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Y,Norm,1Story,Hip,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,51.35026550292969,1977.0,0.0,280.0,491.0,167.0,938.0,1.0,0.0,1.0,308.0,Gd,BLQ,Av,Detchd,TA,Gd,LwQ,Unf,AllPub,TA,None,WD,Typ,TA,VinylSd,VinylSd,TA,RL
44,45,0,1150,1,0,3,1,6,0,1959,1959,6,1150,5,0,0,0,0,0,0,0,5,2006,7945,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,FuseA,70.0,1959.0,0.0,179.0,506.0,465.0,1150.0,1.0,0.0,1.0,300.0,Gd,BLQ,No,Attchd,TA,TA,ALQ,RFn,AllPub,TA,None,WD,Typ,TA,Wd Sdng,BrkFace,TA,RL
45,46,0,1752,2,0,2,1,6,1,2005,2005,5,1752,9,196,82,0,0,0,0,0,2,2010,7658,120,0,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Y,Norm,1Story,Hip,CompShg,Ex,TA,PConc,GasA,TwnhsE,SBrkr,61.0,2005.0,412.0,456.0,0.0,1296.0,1752.0,1.0,0.0,2.0,576.0,Gd,Unf,No,Attchd,TA,Ex,GLQ,RFn,AllPub,TA,BrkFace,WD,Typ,Ex,MetalSd,MetalSd,TA,RL
46,47,0,2149,1,1,1,1,6,1,2003,2003,5,1518,7,168,43,0,0,198,0,0,8,2009,12822,50,631,Y,Ex,Abnorml,Pave,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Y,Norm,1.5Fin,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,48.0,2003.0,0.0,1351.0,0.0,83.0,1434.0,1.0,0.0,2.0,670.0,Ex,Unf,No,Attchd,TA,Ex,GLQ,RFn,AllPub,TA,None,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
47,48,0,1656,2,0,3,1,7,0,2006,2006,5,1656,8,0,146,0,0,0,0,0,7,2007,11096,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Y,Norm,1Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,84.0,2006.0,0.0,24.0,0.0,1632.0,1656.0,0.0,0.0,3.0,826.0,Gd,Unf,Av,Attchd,TA,Gd,GLQ,RFn,AllPub,TA,None,WD,Typ,Gd,VinylSd,VinylSd,TA,FV
